ID,Total Epochs,Conv2D Time (s),ReLU Time (s),MaxPool2D Time (s),Flatten Time (s),FullyConnected Time (s),Softmax Time (s)
Epoch_1,64,5308.240668,732.844038,391.306230,58.420691,2356.082228,2.544997
Epoch_2,64,5402.616070,755.758801,402.373729,57.999604,2368.153384,2.676123
Epoch_3,64,6972.831740,1266.447572,538.575262,73.033210,2931.715134,3.338815
Epoch_4,64,6152.536173,988.216754,508.114873,65.692754,2637.992528,3.078509
Epoch_5,64,6211.851303,1005.773781,507.847185,63.456149,2634.966565,2.793080
Epoch_6,64,7092.640130,1351.522990,545.129967,70.069327,3034.567369,3.592370
Epoch_7,64,7455.885125,1399.167554,593.406833,71.854482,3023.189167,3.359817
Epoch_8,64,7227.643130,1327.684999,591.099221,70.469201,2913.840689,3.189300
Epoch_9,64,9111.976902,1832.782160,731.980642,83.788280,3362.051864,3.639459
Epoch_10,64,12674.401996,2741.054933,1057.757171,108.044802,4024.177818,4.598336
