ID,Total Epochs,Conv2D Time (s),ReLU Time (s),MaxPool2D Time (s),Flatten Time (s),FullyConnected Time (s),Softmax Time (s)
Epoch_1,64,2150.677572,60.419399,210.995656,0.493294,601.300924,2.221635
Epoch_2,64,2157.696477,61.658215,208.552551,0.484023,608.883806,2.186809
Epoch_3,64,2238.021611,64.981924,218.903581,0.497356,627.247717,2.296716
Epoch_4,64,2093.834884,59.969736,201.685697,0.475573,584.810176,2.212282
Epoch_5,64,2080.707265,60.689078,202.987509,0.479727,585.133755,2.052807
Epoch_6,64,2101.044707,59.754975,201.888696,0.410329,598.449749,2.185680
Epoch_7,64,2081.763992,59.895662,200.181747,0.449717,593.848091,2.121105
Epoch_8,64,2135.645959,59.715868,203.541352,0.459240,587.472573,2.117339
Epoch_9,64,2394.777106,65.731268,225.396012,0.579064,625.412983,2.375205
Epoch_10,64,2073.044924,60.118496,200.842670,0.489079,583.491421,2.166422
