Epoch,Total Epochs,Epoch Time (s),Time per Step (ms),Loss,Accuracy
1,1,9974.207512,199.484150,1.662148,0.389185
2,9,10107.203777,202.144076,1.276666,0.549056
3,9,13159.975485,263.199510,1.191871,0.585527
4,9,11722.030629,234.440613,1.211520,0.579665
5,9,11854.667382,237.093348,1.286011,0.555258
6,9,13726.329962,274.526599,0.987954,0.658971
7,9,14360.492862,287.209857,0.842520,0.708187
8,9,13901.445969,278.028919,0.767712,0.736356
9,9,17272.242152,345.444843,0.717795,0.753141
10,9,23396.775306,467.935506,0.691642,0.762984
